timestamp	experiment_id	avg_score	benchmark_scores	status	description
2026-04-08T17:00:40	20260408-170040	4.76	incident-triage-p1:4.55,incident-triage-p3:4.73,tension-resolution:5.00,remediation-safety:5.00,multi-alert-triage:4.73,maintenance-planning:4.82,scout-discovery:4.67,security-audit:4.82,runbook-quality:4.41,cross-platform-diagnosis:4.64,baseline-documentation:5.00	keep	Enhanced documenter baseline template with structured sections (Network Configuration, Storage, Users and Security, Backup Configuration), Flagged Concerns table with severity/category/action/priority columns, and Normal State Baseline section with expected patterns for monitoring
2026-04-09T00:06:04	20260408-170506	4.80	incident-triage-p1:4.55,incident-triage-p3:4.73,tension-resolution:5.00,remediation-safety:5.00,multi-alert-triage:4.73,maintenance-planning:4.82,scout-discovery:4.67,security-audit:4.82,runbook-quality:4.86,cross-platform-diagnosis:4.64,baseline-documentation:5.00	keep	Added expected failure output to remediation step template in documenter.md — remediation steps now require both Expected success and Expected failure output (matching diagnostic section), updated Runbook Writing Rule #1 to explicitly require both success and failure output for all commands
2026-04-09T00:14:00	20260408-171056	4.84	incident-triage-p1:4.84,incident-triage-p3:4.73,tension-resolution:5.00,remediation-safety:5.00,multi-alert-triage:4.89,maintenance-planning:4.82,scout-discovery:4.67,security-audit:4.82,runbook-quality:4.86,cross-platform-diagnosis:4.64,baseline-documentation:5.00	keep	Added P1/P2 Incident Dispatch Framework to dispatcher.md — severity declaration with evidence, business impact statement, structured incident task (5 required elements including first action sequence), escalation branches (if-restored vs if-not-restored), and explicit tension call requirement
2026-04-09T17:16:00	20260408-171625	4.85	incident-triage-p1:4.84,incident-triage-p3:4.73,tension-resolution:5.00,remediation-safety:5.00,multi-alert-triage:4.89,maintenance-planning:4.82,scout-discovery:4.67,security-audit:4.82,runbook-quality:4.86,cross-platform-diagnosis:4.73,baseline-documentation:5.00	keep	Added Partial Impact Investigation Framework to analyst.md — 5-step structured approach for partial-impact incidents (time-boundary analysis, state cache hypothesis with Kerberos/DNS/ARP/TLS examples, escalation prediction, partition test, cross-platform impact statement)
2026-04-09T17:22:00	20260408-171945	4.87	incident-triage-p1:4.84,incident-triage-p3:4.73,tension-resolution:5.00,remediation-safety:5.00,multi-alert-triage:4.89,maintenance-planning:4.82,scout-discovery:4.82,security-audit:4.82,runbook-quality:4.86,cross-platform-diagnosis:4.73,baseline-documentation:5.00	keep	Added Dependency Chain Mapping Framework to scout.md — chain tracing method (consumer/provider identification, follow the data, shared infrastructure dependencies, criticality classification), structured chain output format with blast radius, and common chain patterns checklist (application stack, auth/identity, external connectivity, backup, DNS, monitoring, DHCP)
2026-04-09T17:30:00	20260408-172539	4.89	incident-triage-p1:4.84,incident-triage-p3:4.73,tension-resolution:5.00,remediation-safety:5.00,multi-alert-triage:4.89,maintenance-planning:4.82,scout-discovery:4.82,security-audit:4.82,runbook-quality:4.86,cross-platform-diagnosis:5.00,baseline-documentation:5.00	keep	Added Kerberos Trust Failure Mechanism to analyst.md — explicit 5-step failure chain (shared secret desync → service ticket encryption mismatch → cached ticket masking → escalation pattern → total failure) with diagnostic indicators, filling the gap in C1 root cause identification
2026-04-09T00:31:58	20260408-173021	4.92	incident-triage-p1:4.84,incident-triage-p3:5.00,tension-resolution:5.00,remediation-safety:5.00,multi-alert-triage:4.89,maintenance-planning:4.82,scout-discovery:4.82,security-audit:4.82,runbook-quality:4.86,cross-platform-diagnosis:5.00,baseline-documentation:5.00	keep	Integrated Automation Failure Dual-Problem Triage into P3/P4 Preventive Task Dispatch framework — merged standalone Automation Failure Principle into P3/P4 urgency assessment (automation failure makes hard deadline less trustworthy), added time-boxing escalation tier for automation failures, and restructured task construction to mandate both immediate fix and automation investigation in a single dispatch
2026-04-09T17:36:00	20260408-173550	4.93	incident-triage-p1:4.84,incident-triage-p3:5.00,tension-resolution:5.00,remediation-safety:5.00,multi-alert-triage:4.89,maintenance-planning:4.82,scout-discovery:4.82,security-audit:5.00,runbook-quality:4.86,cross-platform-diagnosis:5.00,baseline-documentation:5.00	keep	Added Compromise Credential Cascade principle and explicit timeframe structure to hardener.md — mandatory credential rotation after compromise (all local/domain/service accounts on compromised host), service account audit trigger (one failure = audit all), structured Immediate/Short-term/Medium-term output format replacing flat Critical/Important/Minor
2026-04-09T17:42:00	20260408-174134	4.95	incident-triage-p1:4.84,incident-triage-p3:5.00,tension-resolution:5.00,remediation-safety:5.00,multi-alert-triage:4.89,maintenance-planning:5.00,scout-discovery:4.82,security-audit:5.00,runbook-quality:4.86,cross-platform-diagnosis:5.00,baseline-documentation:5.00	keep	Added Per-Item Verification Templates to operator.md Step 7 — replaced generic post-check bullets with specific verification command templates per maintenance type (firewall, AD/DC, database, Linux/Windows OS, backup, Docker) and mandatory 3-part post-check structure (direct verification, downstream verification, monitoring confirmation)
2026-04-09T18:00:00	20260408-174636	4.96	incident-triage-p1:4.84,incident-triage-p3:5.00,tension-resolution:5.00,remediation-safety:5.00,multi-alert-triage:4.89,maintenance-planning:5.00,scout-discovery:5.00,security-audit:5.00,runbook-quality:4.86,cross-platform-diagnosis:5.00,baseline-documentation:5.00	keep	Added Cross-Host Analysis section to scout.md output format — systematic comparison step (duplicate services/tooling, shared patch debt, backup coverage gaps, single points of failure, configuration drift patterns) placed before Security/Operational Concerns sections to ensure cross-host patterns are caught
2026-04-09T18:00:00	20260408-175304	4.97	incident-triage-p1:4.84,incident-triage-p3:5.00,tension-resolution:5.00,remediation-safety:5.00,multi-alert-triage:5.00,maintenance-planning:5.00,scout-discovery:5.00,security-audit:5.00,runbook-quality:4.86,cross-platform-diagnosis:5.00,baseline-documentation:5.00	keep	Expanded Multi-Alert Protocol from 3 lines to structured 5-step framework — rapid severity sort, independence assessment, parallel dispatch construction with client context requirement, parallel/serial decision rules, and context maintenance for simultaneous alerts
2026-04-09T18:00:00	20260408-175857	4.99	incident-triage-p1:4.84,incident-triage-p3:5.00,tension-resolution:5.00,remediation-safety:5.00,multi-alert-triage:5.00,maintenance-planning:5.00,scout-discovery:5.00,security-audit:5.00,runbook-quality:5.00,cross-platform-diagnosis:5.00,baseline-documentation:5.00	keep	Added Minimum Branch Coverage rule to documenter.md Runbook Writing Rule #3 — every diagnostic step must have one alternative-cause branch, every remediation step must have one step-level failure branch, with explicit flag for steps where no branch exists
